# Stream A2 walk-forward — 2026-05-28
# Source: atlas.weinstein_a2_walk_forward
# Rules walk-forwarded (only candidates that cleared in-sample signed IC >= 0.03, hit >= 0.55, events/yr >= 25):
#   Large DOWN 5W S06_+L6
#   Large DOWN 10W S06_+L6
#   Mid   DOWN 10W S06_+L6
#   Mid   UP   20W S06_+L6
#   Small DOWN 10W S06_+L6
#   Small DOWN 10W S05_+L4
#   Small UP   30W S06_+L6
# Important caveat: S06 (+L6 liquidity) passes ~95% of events; for many test_year cells
# the indicator has no within-year variance so IC = NULL. Only S05 (+L4 base width)
# has meaningful within-year filter behavior for Small cap.
# Bull-market over-fitting: most rules show high IC dispersion across years with
# 2018 (bear), 2020 (covid crash), 2024-2025 (range) often diverging from 2021-2022 bull.
# ic_signed = ic_spearman for UP, -ic_spearman for DOWN (so >0 = good signal).
cap_tier,event_type,ma_lookback_weeks,subset_id,test_year,n_pass,hit_rate,mean_excess_pass,ic_signed
Large,DOWN,5,S06_+L6,2018,63,0.730,-0.0823,-0.0784
Large,DOWN,5,S06_+L6,2019,49,0.612,-0.0410,-0.0824
Large,DOWN,5,S06_+L6,2020,36,0.667,-0.0474,
Large,DOWN,5,S06_+L6,2021,57,0.526,0.0211,0.1780
Large,DOWN,5,S06_+L6,2022,41,0.439,0.0496,0.3115
Large,DOWN,5,S06_+L6,2023,31,0.613,-0.0165,
Large,DOWN,5,S06_+L6,2024,26,0.385,-0.0216,
Large,DOWN,5,S06_+L6,2025,61,0.574,-0.0145,
Large,DOWN,5,S06_+L6,2026,4,0.750,-0.0552,
Large,DOWN,10,S06_+L6,2018,34,0.588,-0.0717,0.2451
Large,DOWN,10,S06_+L6,2019,35,0.686,-0.0615,
Large,DOWN,10,S06_+L6,2020,21,0.667,0.0061,0.3612
Large,DOWN,10,S06_+L6,2021,20,0.800,-0.0462,
Large,DOWN,10,S06_+L6,2022,37,0.541,0.0300,
Large,DOWN,10,S06_+L6,2023,17,0.294,0.0540,
Large,DOWN,10,S06_+L6,2024,12,0.667,-0.0625,
Large,DOWN,10,S06_+L6,2025,27,0.556,-0.0064,
Large,DOWN,10,S06_+L6,2026,2,0.000,0.1043,
Mid,DOWN,10,S06_+L6,2018,49,0.714,-0.1297,0.2188
Mid,DOWN,10,S06_+L6,2019,48,0.625,-0.0376,0.1521
Mid,DOWN,10,S06_+L6,2020,23,0.696,-0.0629,0.0981
Mid,DOWN,10,S06_+L6,2021,21,0.762,-0.1063,0.2924
Mid,DOWN,10,S06_+L6,2022,67,0.612,-0.0393,-0.1908
Mid,DOWN,10,S06_+L6,2023,31,0.516,-0.0342,
Mid,DOWN,10,S06_+L6,2024,24,0.708,-0.0510,
Mid,DOWN,10,S06_+L6,2025,45,0.467,0.0513,
Mid,DOWN,10,S06_+L6,2026,6,0.500,0.0006,
Mid,UP,20,S06_+L6,2018,18,0.611,0.0151,0.3012
Mid,UP,20,S06_+L6,2019,25,0.560,0.0389,0.0500
Mid,UP,20,S06_+L6,2020,27,0.630,0.2474,0.4392
Mid,UP,20,S06_+L6,2021,39,0.667,0.1282,-0.2566
Mid,UP,20,S06_+L6,2022,32,0.625,0.0668,0.2785
Mid,UP,20,S06_+L6,2023,36,0.667,0.1844,
Mid,UP,20,S06_+L6,2024,22,0.318,-0.0146,
Mid,UP,20,S06_+L6,2025,40,0.500,-0.0119,
Mid,UP,20,S06_+L6,2026,2,0.000,-0.1695,
Small,DOWN,10,S05_+L4,2018,23,0.783,-0.0975,-0.1073
Small,DOWN,10,S05_+L4,2019,39,0.795,-0.1699,0.1438
Small,DOWN,10,S05_+L4,2020,22,0.682,-0.0253,-0.1262
Small,DOWN,10,S05_+L4,2021,27,0.593,0.0305,-0.0032
Small,DOWN,10,S05_+L4,2022,49,0.755,-0.0613,0.0914
Small,DOWN,10,S05_+L4,2023,20,0.400,0.1531,0.0342
Small,DOWN,10,S05_+L4,2024,17,0.765,-0.0855,0.1656
Small,DOWN,10,S05_+L4,2025,33,0.697,-0.0885,0.1286
Small,DOWN,10,S05_+L4,2026,2,0.500,0.0197,0.1581
Small,DOWN,10,S06_+L6,2018,84,0.810,-0.1460,0.2542
Small,DOWN,10,S06_+L6,2019,64,0.828,-0.1437,0.1201
Small,DOWN,10,S06_+L6,2020,39,0.692,-0.0474,-0.0347
Small,DOWN,10,S06_+L6,2021,47,0.596,0.0293,
Small,DOWN,10,S06_+L6,2022,104,0.702,-0.0484,
Small,DOWN,10,S06_+L6,2023,52,0.346,0.1421,
Small,DOWN,10,S06_+L6,2024,33,0.727,-0.0724,
Small,DOWN,10,S06_+L6,2025,100,0.690,-0.0647,
Small,DOWN,10,S06_+L6,2026,7,0.429,0.0161,
Small,UP,30,S06_+L6,2018,2,0.000,-0.1533,
Small,UP,30,S06_+L6,2019,21,0.619,0.0877,0.3268
Small,UP,30,S06_+L6,2020,18,0.611,0.2656,
Small,UP,30,S06_+L6,2021,37,0.514,0.0156,
Small,UP,30,S06_+L6,2022,45,0.578,0.1139,
Small,UP,30,S06_+L6,2023,46,0.848,0.2852,
Small,UP,30,S06_+L6,2024,27,0.370,-0.0504,
Small,UP,30,S06_+L6,2025,51,0.529,-0.0154,
Small,UP,30,S06_+L6,2026,2,0.500,-0.0097,
